Longitude,Latitude,Counts
121.1081694,31.16045,49
121.1084694,31.1500695,82
121.10847,31.15007001,70
121.1085611,31.1623695,1501
121.1086,31.1167695,1053
121.1088,31.0891695,313
121.10888,30.97262,1947
121.1088806,30.9726195,504
121.10917,30.87339001,373
121.1095,31.1402195,2157
121.1105111,31.1488389,8
121.1118,31.16071,70
121.11198,30.99131,860
121.11237,30.88457001,165
121.1130806,31.1513806,130
121.1143306,31.1792389,2996
121.1147389,30.86145,1963
121.11474,30.86145001,170
121.1152,31.1919695,1710
121.11575,31.03196,2
121.11575,31.03196001,3
121.11606,31.15500001,13638
121.1160611,31.155,2185
121.1162111,31.04095,1066
121.11875,30.90961001,515
121.11875,30.9096111,378
121.11888,31.26916,1082
121.11888,31.26916001,4376
121.1194306,30.9457111,295
121.11951,31.01707,2682
121.11951,31.01707001,5028
121.1195111,31.0170695,516
121.1195611,31.1014195,458
121.11958,30.84271001,124
121.1196111,31.1529,11
121.1202111,31.1511195,6
121.1204306,31.1510195,1391
121.1206389,30.9990695,461
121.12064,30.99907,3567
121.12135,30.89015,968
121.12135,30.89015001,510
121.12143,31.14877,1304
121.12143,31.14877001,9283
121.12145,30.9857695,512
121.1225,31.3675,3170
121.1225,31.36750001,1637
121.1228944,31.17375,1696
121.12389,31.21165,2162
121.12432,31.15761,8
121.12432,31.15761001,273
121.12486,31.13744,715
121.12498,31.2368,406
121.12498,31.23680001,2778
121.12505,31.35323,722
121.12505,31.35323001,953
121.12536,30.93633001,483
121.12605,31.07335,1340
121.12756,31.1557,495
121.127612,31.148819,1226
121.12851,31.15351001,616
121.12909,31.31841,948
121.12909,31.31841001,8874
121.129167,31.318333,862
121.12928,31.14787001,3706
121.1294111,31.1199306,1134
121.13022,31.15565,28
121.13026,31.14666,32
121.13026,31.14666001,3051
121.13035,30.87497001,460
121.13043,31.33182001,12
121.13068,31.26325001,8059
121.1313,31.1645695,943
121.1315806,31.1886306,2390
121.13162,31.19433,5
121.13225,31.24641,1004
121.13225,31.24641001,2496
121.13292,31.30641001,3667
121.1334806,31.1574806,119
121.1336694,31.1393695,1705
121.13435,30.9442195,1030
121.134353,31.03295801,69
121.1345889,30.99715,617
121.1346194,31.0335,844
121.13463,31.25683,1170
121.13463,31.25683001,2846
121.1348,30.9535111,218
121.13489,31.34331001,508
121.13562,31.15246,36
121.13566,31.01592,369
121.13645,31.0620695,37
121.1366,30.9797,1004
121.13752,31.21886,1523
121.13752,31.21886001,2136
121.13792,31.15372,2
121.1381694,31.1707195,1038
121.13827,30.89079001,1870
121.13833,31.26105001,1
121.1386,30.9602,277
121.13895,31.23618,91
121.13895,31.23618001,1023
121.13904,31.20088,932
121.1408889,31.0901,1037
121.140964,31.27173601,1299
121.1411,31.16483,1837
121.1413,30.7968389,1173
121.1413,30.79684001,469
121.14144,31.30861,190
121.14144,31.30861001,3076
121.14161,31.25155,709
121.14161,31.25155001,1813
121.14212,30.91742,534
121.14212,30.91742001,1077
121.14231,31.26552,4770
121.14231,31.26552001,495
121.1426,31.37782,2510
121.1426,31.37782001,3395
121.14316,31.35922001,2605
121.14353,31.00636001,3496
121.1435306,31.0063611,1902
121.144,31.0236389,1813
121.14428,31.16664001,6366
121.14506,31.14632,795
121.14509,30.81658001,330
121.14511,30.83598001,371
121.1451111,30.8359806,1618
121.14601,31.25827001,3113
121.14603,31.17998,1554
121.14638,31.34805,2947
121.14639,31.39167,1815
121.14639,31.39167001,4054
121.14663,31.34851001,2011
121.14755,31.32247001,1239
121.14777,31.24527,567
121.14777,31.24527001,1400
121.14832,31.22733001,145
121.14899,30.86612001,320
121.1508,30.87306001,107
121.1508,30.8730611,967
121.151399,31.29276,472
121.151399,31.29276001,626
121.15148,30.979018,521
121.1515,30.87992001,867
121.15214,31.29618001,8563
121.15246,31.32912001,2621
121.15291,31.31560001,29
121.15299,31.38209001,1258
121.15317,30.89417,166
121.15317,30.89417001,3755
121.15327,31.30820001,3452
121.15341,30.93830001,928
121.1534111,30.9383,275
121.15397,31.27493001,9577
121.15421,31.31392001,1278
121.15517,31.29135,401
